index,post_id,reply_id,actual,female_votes
41,7892378751459500032,16252800000000000000,RHETORICAL QUESTION,2
138,6136925553124996096,18189700000000000000,ANALOGY,1
139,1796321055434843904,14810100000000000000,CONTEXT SHIFT,3
154,13772995230818629632,474398000000000000,FALSE ASSERTION,3
2,7155693771356047360,18161900000000000000,OTHER,2
101,14571755448335099904,8064450000000000000,ANALOGY,2
36,9117711307358630912,7916660000000000000,CONTEXT SHIFT,1
3,5929177359346716672,5855670000000000000,EUPHEMISM,2
108,12840277770070130688,17885300000000000000,RHETORICAL QUESTION,2
90,2432806416627402752,11492500000000000000,FALSE ASSERTION,1
115,14672930942777870336,4389960000000000000,OTHER,2
150,359007761229179712,7539490000000000000,HYPERBOLE,2
85,15169059911459409920,10309200000000000000,RHETORICAL QUESTION,2
17,1679217763483685120,5478910000000000000,CONTEXT SHIFT,1
52,13530102438651389952,4840720000000000000,ANALOGY,1
70,13001943395368790016,10475000000000000000,CONTEXT SHIFT,2
142,8372852051422961664,17839100000000000000,ANALOGY,2
143,12327589089127030784,12311300000000000000,RHETORICAL QUESTION,2
9,12841824500967149568,13599000000000000000,OTHER,2
38,10274209232461860864,1533160000000000000,CONTEXT SHIFT,3
172,856473992583352192,9561800000000000000,ANALOGY,1
188,4570732536120891904,279302000000000000,CONTEXT SHIFT,3
129,5977190667122479104,9931290000000000000,EUPHEMISM,2
43,11558390939674519552,12676400000000000000,FALSE ASSERTION,1
167,14740895360806709248,690708000000000000,RHETORICAL QUESTION,3
123,17948825530378829824,4603970000000000000,EUPHEMISM,2
104,12099038560420169728,16675900000000000000,CONTEXT SHIFT,3
155,17571549064257740800,8316700000000000000,HYPERBOLE,3
112,527554389017052224,13774800000000000000,CONTEXT SHIFT,3
168,4744139215692694528,14418000000000000000,CONTEXT SHIFT,2
27,1004779540710112000,10540900000000000000,ANALOGY,1
131,16822415573863280640,13445000000000000000,OTHER,2
25,10543569204621709312,6478110000000000000,RHETORICAL QUESTION,2
184,4219267705690278912,8173530000000000000,CONTEXT SHIFT,1
174,11684652511432220672,8495650000000000000,FALSE ASSERTION,2
200,3045493691802176000,1458020000000000000,EUPHEMISM,2
128,6621863004798281728,16813700000000000000,ANALOGY,1
198,12440347481004769280,16857000000000000000,OTHER,2
163,10353713379511670784,7889330000000000000,OTHER,2
119,14849029575208689664,6295240000000000000,FALSE ASSERTION,2
166,8593319126456509440,18392100000000000000,HYPERBOLE,2
54,11137418050832379904,3817000000000000000,CONTEXT SHIFT,2
132,17983287614789019648,12362200000000000000,CONTEXT SHIFT,1
50,9568837740787623936,2564980000000000000,CONTEXT SHIFT,3
67,888612363643747712,9901380000000000000,CONTEXT SHIFT,2
92,4520804865264936960,12052700000000000000,FALSE ASSERTION,2
164,12053836099981969408,15092600000000000000,CONTEXT SHIFT,2
178,15621374748089249792,1864250000000000000,RHETORICAL QUESTION,3
4,12099038560420169728,10284800000000000000,ANALOGY,3
86,3037383543302795776,6283640000000000000,CONTEXT SHIFT,2
185,4282571183500335104,17164000000000000000,HYPERBOLE,2
55,10281194885854019584,14278400000000000000,CONTEXT SHIFT,3
7,4625931298966675456,3210680000000000000,HYPERBOLE,3
160,17672354307488139264,11727300000000000000,HYPERBOLE,2
12,8727623984665907200,457492000000000000,ANALOGY,1
29,14374185223286280192,15962200000000000000,ANALOGY,1
72,255308143867597184,3714510000000000000,ANALOGY,1
77,7489313936521549824,7078800000000000000,CONTEXT SHIFT,3
74,14222935602055790592,11326200000000000000,OXYMORON,2
189,13390906219756009472,4552500000000000000,OTHER,2
11,1439242534760017920,10568700000000000000,FALSE ASSERTION,1
